,0
abandoned,0.1306603504050727
able,0.6136688049075536
absolute,0.2977699515020028
adorable,2.443059612673499
adventurous,1.3087795715568797
academic,0.17669403127282005
acceptable,1.9687790969603407
acclaimed,0.030055624101561273
accomplished,0.7950078351445707
accurate,1.0022816510762351
aching,0.9638541536530353
acidic,0.20221474820780683
acrobatic,1.0733453453653918
active,0.04263666665717855
actual,0.64795630384397
adept,1.0824777181706324
admirable,0.5162218855942888
admired,1.3618524832693453
adolescent,0.8021686711084608
adored,0.09696885228637997
advanced,0.7051729461733007
afraid,2.356932177778153
affectionate,1.6105376585119984
aged,0.04737435168923195
aggravating,0.4655710262329769
aggressive,1.153807912138189
agile,0.3657268015220363
agitated,0.8542255635425308
agonizing,1.498066734328243
agreeable,1.9199908805977712
ajar,0.3404311312612068
alarmed,1.0304620356458163
alarming,1.5169979724128968
alert,1.7465197166355535
alienated,2.4397060471512044
alive,0.10687270345715807
all,1.2512725606310378
altruistic,2.148956317930579
amazing,1.6454769591312002
ambitious,1.33291095385186
ample,0.6060352795069963
amused,1.2961922193556865
amusing,1.3600910356966331
anchored,0.2366707543420449
ancient,0.3628368576641405
angelic,1.5990995465945266
angry,1.0221093803823442
anguished,0.9844916267066561
animated,0.38073083025294135
annual,0.2193558851270242
another,0.7481707154010142
antique,0.48874670779413976
anxious,1.791916000961017
any,1.3477107024641266
apprehensive,1.8456605230470695
appropriate,2.080245326161481
apt,0.0445842977040684
arctic,0.6268961168630711
arid,0.03689888094752711
aromatic,0.00909226477236675
artistic,0.6054411764783205
ashamed,2.513974440180801
assured,0.7027531424246618
astonishing,0.6626522804419696
athletic,0.6322125731029816
attached,0.04047042055067604
attentive,1.4135153389893216
attractive,1.6389685556103581
austere,1.415306819329454
authentic,0.4758378419622614
authorized,0.7605063782832455
automatic,1.723127087772949
avaricious,0.4566091872398391
average,0.8944170868722896
aware,1.1125981896052755
awesome,1.7317539030486166
awful,1.7853034826250325
awkward,3.6914741432845406
babyish,1.3231147955350326
bad,0.888653171155128
back,0.988944240031931
baggy,0.6988606410769187
bare,1.1009188904815308
barren,1.3774563726004014
basic,0.27451604977143895
beautiful,0.6200435038055438
belated,0.83690087270929
beloved,1.1994056833474978
beneficial,0.9871773596362958
better,1.5870723004993672
best,1.240556973391329
bewitched,3.371769603725791
big,1.0626995907239758
big-hearted,1.949177811871502
biodegradable,0.6964322186324123
bite-sized,0.8033547490777351
bitter,0.06643031346201754
black,0.9422777324758699
black-and-white,0.7695130203074129
bland,0.8665141718366387
blank,1.1837224829578263
blaring,0.24649075186072492
bleak,1.7496060540942648
blind,0.9894158246644623
blissful,1.9237609199237877
blond,0.8024500393111763
blue,0.685760679962551
blushing,0.7672118486878438
bogus,0.31221031119322307
boiling,0.4693371787751911
bold,2.5127433085419684
bony,0.6761435750248134
boring,2.040476377062624
bossy,2.4067110101621845
both,0.3159149738429772
bouncy,1.1681262339759524
bountiful,0.7926250363219989
bowed,0.5117893698916243
brave,0.9806942969229951
breakable,1.3271070205603597
brief,1.5112537045516068
bright,1.6928227747640363
brilliant,1.2134176612653074
brisk,0.5645299435664077
broken,0.22101233892669764
bronze,0.09912770832706291
brown,0.6099943668128072
bruised,0.12018815177654789
bubbly,1.4766744650067425
bulky,1.9249720206393546
bumpy,2.647588026182488
buoyant,1.432885365877697
burdensome,2.025652557074182
burly,0.5557878122985905
bustling,0.44882173033567535
busy,0.6474767623902186
buttery,0.12088434325003546
buzzing,0.7563563262525419
calculating,2.048544476388678
calm,0.8513871240059548
candid,0.291597260740712
canine,0.3559153851821625
capital,0.005816440906106818
carefree,1.9531299370716528
careful,1.791546381498242
careless,2.0657894411982367
caring,1.7050356708848868
cautious,2.4446916608075684
cavernous,2.2175315252786314
celebrated,0.010405252234747121
charming,1.123448506522565
cheap,1.192771563473659
cheerful,1.7461888871460922
cheery,1.267232873845181
chief,0.0855783356020184
chilly,2.182532292367295
chubby,0.4397129692287245
circular,1.2040317641939067
classic,0.5323033182098498
clean,0.5311145727287508
clear,0.6742187665313755
clear-cut,1.6203429071313964
clever,2.0488397627249375
close,0.46850049022766715
closed,0.41561530228496174
cloudy,0.5692147661454334
clueless,3.805296895115393
clumsy,2.158965899291223
cluttered,1.9715041097003014
coarse,0.306663593424168
